OrbitData
+8.211028179543064e+08            ;+6.147510902074939e+03            ;+1.732599844461404e+03            ;+2.550583915875540e+03            ;+6.200000000000000e+01            ;
+8.211028235796319e+08            ;+6.133925692151181e+03            ;+1.722346294928300e+03            ;+2.589875064974675e+03            ;+6.300000000000000e+01            ;
+8.211028292049575e+08            ;+6.120102543495072e+03            ;+1.712025934729254e+03            ;+2.629065469261423e+03            ;+6.400000000000000e+01            ;
+8.211028348302830e+08            ;+6.106041997201432e+03            ;+1.701639165547314e+03            ;+2.668153606512900e+03            ;+6.500000000000000e+01            ;
+8.211028404556085e+08            ;+6.091744603995801e+03            ;+1.691186391924061e+03            ;+2.707137957515275e+03            ;+6.600000000000000e+01            ;
+8.211028460809340e+08            ;+6.077210922831347e+03            ;+1.680668020233820e+03            ;+2.746017009889895e+03            ;+6.700000000000000e+01            ;
+8.211028517062596e+08            ;+6.062441522848904e+03            ;+1.670084460118972e+03            ;+2.784789252732834e+03            ;+6.800000000000000e+01            ;
+8.211028573315852e+08            ;+6.047436981977700e+03            ;+1.659436123465267e+03            ;+2.823453180442408e+03            ;+6.900000000000000e+01            ;
+8.211028629569107e+08            ;+6.032197887382653e+03            ;+1.648723424730152e+03            ;+2.862007291490646e+03            ;+7.000000000000000e+01            ;
+8.211028685822363e+08            ;+6.016724835265877e+03            ;+1.637946780801063e+03            ;+2.900450088941030e+03            ;+7.100000000000000e+01            ;
+8.211028742075619e+08            ;+6.001018431018432e+03            ;+1.627106611104384e+03            ;+2.938780080048880e+03            ;+7.200000000000000e+01            ;
+8.211028798328873e+08            ;+5.985079289374666e+03            ;+1.616203337706880e+03            ;+2.976995775920688e+03            ;+7.300000000000000e+01            ;
+8.211028854582129e+08            ;+5.968908033135405e+03            ;+1.605237384446825e+03            ;+3.015095694543920e+03            ;+7.400000000000000e+01            ;
+8.211028910835384e+08            ;+5.952505295119778e+03            ;+1.594209178269300e+03            ;+3.053078356106674e+03            ;+7.500000000000000e+01            ;
+8.211028967088640e+08            ;+5.935871716822915e+03            ;+1.583119148306821e+03            ;+3.090942286224454e+03            ;+7.600000000000000e+01            ;
+8.211029023341895e+08            ;+5.919007948693522e+03            ;+1.571967726071456e+03            ;+3.128686015259277e+03            ;+7.700000000000000e+01            ;
+8.211029079595151e+08            ;+5.901914650138132e+03            ;+1.560755345458524e+03            ;+3.166308078304270e+03            ;+7.800000000000000e+01            ;
+8.211029135848405e+08            ;+5.884592489831115e+03            ;+1.549482442947356e+03            ;+3.203807014519794e+03            ;+7.900000000000000e+01            ;
+8.211029192101661e+08            ;+5.867042144246025e+03            ;+1.538149456648248e+03            ;+3.241181370294022e+03            ;+8.000000000000000e+01            ;
